IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
976-16-O126;Asesoría Revisión Anteproy. Ref. Ampliación y Mejoramiento Ad. Carriel Sur;O1;Publicada y disponible para ofertar;24/09/2026 08:38:06;Esta Dirección necesita llamar a licitación pública para la contratación de Asesoría de Revisión Anteproyecto Referencial Ampliación y Mejoramiento Aeródromo Carriel Sur, Concepción;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
3656-161-LR26;CONSTRUCCION COMPLEJO DEPORTIVO COMUNAL REQUÍNOA;LR;Publicada y disponible para ofertar;22/09/2026 17:39:00;CONSTRUCCION COMPLEJO DEPORTIVO COMUNAL REQUÍNOA;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 5.000 UTM;I MUNICIPALIDAD DE REQUINOA
828-4-O126;REPOSICION CENTRO POLIFUNCIONAL INSTITUTO NACIONAL DE DEPORTES;O1;Publicada y disponible para ofertar;22/09/2026 13:53:17;REPOSICION CENTRO POLIFUNCIONAL INSTITUTO NACIONAL DE DEPORTES;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1057499-52-LR26;Oxígeno líquido con Estación Criogénica HSLBP;LR;Publicada y disponible para ofertar;21/09/2026 15:06:23;La presente licitación tiene como objetivo realizar un convenio de suministro continuo de oxígeno líquido medicinal, así como la provisión, en modalidad de comodato, de una estación criogénica, el suministro de cilindros de respaldo y todos los equipos, accesorios, conexiones, mantenciones preventivas y correctivas, asistencia técnica, monitoreo, capacitaciones y demás prestaciones necesarias para garantizar la continuidad del suministro para el Hospital San Luis de Buin-Paine, es decir, el hospital establece un presupuesto global y de este se van descontando los insumos solicitados.  Debido a lo anterior, se adjudicará a un único proveedor el monto disponible indicado en el numeral 1.2 de las presentes Bases Administrativas, debiendo los oferentes indicar el valor unitario de cada uno de los productos y prestaciones asociadas requeridas, valores que deberán mantenerse durante toda la vigencia del convenio. Dichos valores se descontarán del monto adjudicado, acorde a los volúmenes que se vayan utilizando en el periodo contractual.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 5.000 UTM;SERVICIO DE SALUD SUR UNIDAD HOSPITALARI
829-3-O126;CONSTRUCCIÓN CENTRO DE LA MUJER PUERTO NATALES;O1;Publicada y disponible para ofertar;21/09/2026 08:31:07;UN PROYECTO PARA EL FINANCIAMIENTO DEL DISEÑO Y LA EDIFICACIÓN DE UN CENTRO DE LA MUJER EN UN TERRENO UBICADO EN PUERTO NATALES. EL DISEÑO PARA LA CONSTRUCCIÓN DE UN CENTRO DE LA MUJER DE PUERTO NATALESPERMITIRÁ GENERAR CONDICIONES ADECUADAS PARA EL TRABAJO DE PREVENCIÓN, INTERVENCIÓN Y REPARACIÓN DEL DAÑO EN LA DIVERSIDAD DE MUJERES VÍCTIMAS YO SOBREVIVIENTES DE VIOLENCIAS DE GENERO.;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1057439-120-LR26;Convenio Suministro Hialuronato para Cirugías Oftalmológicas;LR;Publicada y disponible para ofertar;17/09/2026 11:59:52;asegurar el suministro oportuno y continuo de este insumo, necesario para la realización de procedimientos y prestaciones oftalmológicas de acuerdo con los requerimientos clínicos de los pacientes. La adquisición busca garantizar la disponibilidad de los insumos requeridos, permitiendo la continuidad de las atenciones y procedimientos de la Unidad de Oftalmología, contribuyendo a una atención oportuna, segura y de calidad para los pacientes del Hospital de La Serena.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 5.000 UTM;SERVICIO DE SALUD COQUIMBO HOSPITAL LA SERENA
4099-26-LP26;Obras de emergencia para plantas de tratamiento;LP;Publicada y disponible para ofertar;16/09/2026 12:53:30;Obras de emergencia para la operación de las plantas de San Enrqiue y La Colonia , Comuna de María Pinto;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;I MUNICIPALIDAD DE MARIA PINTO
5048-54-O126;EST PREFACTIBILIDAD PUENTE ANTOLIN, REGION AYSEN;O1;Publicada y disponible para ofertar;16/09/2026 12:05:15;El estudio busca analizar una nueva estructura acorde con el actual estándar mínimo exigido, la que a su vez permitirá mantener la conectividad del principal eje regional, que conecta el puerto de Chacabuco – Aysén – Coyhaique – aeródromo de Balmaceda – paso fronterizo Huemules.;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
819-3-O126;RESTAURACIÓN ARQUITECTÓNICA EX ADUANA DE IQUIQUE;O1;Publicada y disponible para ofertar;15/09/2026 12:56:46;Contratación de obras civiles para restauración del monumento histórico;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
5048-53-O126;ESTUDIO BÁSICO DIAGNÓSTICO DE USO DE ÁRIDOS RECICLADOS Y ARTIFICIALES;O1;Publicada y disponible para ofertar;15/09/2026 09:13:00;Estudio del uso de áridos reciclados y artificiales en obras públicas, considerando, requisitos técnicos y normativa nacional e internacional para su aplicación.;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
3595-31-LP26;ARQ. E ING.MEDIALUNA Y SALÓN MULTIUSO VILLA DARWIN;LP;Publicada y disponible para ofertar;14/09/2026 12:06:44;Contratar el servicio integral de arquitectura, ingeniería y especialidades para el desarrollo del diseño del Complejo Club de Rodeo Río Verde y Salón Multiuso de Villa Darwin, incluyendo prediseño, proyecto definitivo, coordinación interdisciplinaria, especialidades técnicas, documentación y tramitaciones necesarias para la correcta ejecución de ambas líneas.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;ILUSTRE MUNICIPALIDAD DE RIO VERDE
820-3-O126;RESTAURACIÓN Y HABILITACIÓN BIBLIOTECA MUNICIPAL EX ESCUELA 3, HUASCO;O1;Publicada y disponible para ofertar;08/09/2026 18:28:24;La D. Arquitectura Atacama, licita la Consultoría de Diseño para la Restauración y Habilitación de la Biblioteca Municipal, Ex Escuela N°3 de la comuna de Huasco  dirigida a consultores MOP con registro vigente en la Área 6 Arquitectura y Urbanismo  Especialidad 6.1 o 6.4  1a categoría o superior;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
425-57-LR26;SERVICIO DE INSPECCIÓN TÉCNICA PARA LA HABILITACIÓN DEL CENTRO DE JUSTICIA DE TEMUCO - TRIBUNAL DE FAMILIA CIVILES 1° 2° Y 3° JUZGADO DE LETRAS Y DE FAMILIA Y JUZGADO DE LETRAS DEL TRABAJO;LR;Publicada y disponible para ofertar;04/09/2026 16:12:52;BIP(30113065-0) SERVICIO DE INSPECCIÓN TÉCNICA PARA LA HABILITACIÓN DEL CENTRO DE JUSTICIA DE TEMUCO - TRIBUNAL DE FAMILIA, CIVILES 1°, 2° Y 3°, JUZGADO DE LETRAS Y DE FAMILIA Y JUZGADO DE LETRAS DEL TRABAJO;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 5.000 UTM;CORP ADMINISTRATIVA DEL PODER JUDICIAL
5048-49-O126;AIF “REPOSICIÓN RUTA N-59-Q, SECTOR CHILLÁN - YUNGAY;O1;Publicada y disponible para ofertar;31/08/2026 09:05:00;Supervisión del contrato que considera la ejecución de obras de mejoramiento del trazado geométrico, ensanche y regularización de la plataforma, diseño de pavimentos, mejoramiento del sistema de drenaje, adecuación de estructuras, obras de arte, seguridad vial y obras asociadas.;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
2216-21-O126;ESTUDIO INTEGRAL CONCESIÓN CONEXIÓN PUENTE INDUSTRIAL - RUTA INTERPORTUARIA;O1;Publicada y disponible para ofertar;25/08/2026 07:55:47;definir la factibilidad de licitar la actual Ruta que conecta el Puente Industrial y la Ruta Interportuaria, para lo cual es necesario desarrollar una serie de estudios base referidos a Ingeniería, Demanda y Evaluación Social, Expropiaciones, Territorial con Participación Ciudadana, Asuntos Indígenas, Ambiental, Costos de Operación y Mantenimiento y Programa de Ejecución de las Obras. El desarrollo de dichos estudios indicará los mejoramientos, complementos y obras nuevas que se requieran implementar en la infraestructura existente de la ruta actual.;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MOP Dirección General de Concesiones
822-3-O126;REPOSICIÓN CUARTEL BICRIM PDI, VILLA ALEMANA - CUARTO LLAMADO;O1;Publicada y disponible para ofertar;11/08/2026 15:56:00;REPOSICIÓN CUARTEL BICRIM PDI, VILLA ALEMANA - CUARTO LLAMADO;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
5048-36-O126;AIF CALAMA - SAN PEDRO TRAMO 4A;O1;Publicada y disponible para ofertar;31/07/2026 08:58:00;Supervisión del proyecto destinado a optimizar el trazado existente, la ejecución de movimiento de tierra, obras de saneamiento, seguridad vial y otras obras asociadas.;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
5048-24-O126;EST BASICO AUSCULTACION PAV RURALES;O1;Publicada y disponible para ofertar;27/07/2026 09:19:00;La presente consultoría permitirá conocer el estado estructural y funcional de los pavimentos rurales o caminos básicos, administrados por la Dirección de Vialidad. Se usarán métodos automatizados y de alto rendimiento que otorguen seguridad, eficiencia y eficacia, tanto a los procesos como a los resultados que se obtienen de ellos.;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
331-13-O126;AIF GLOBAL CALLES LOCALES;O1;Publicada y disponible para ofertar;10/07/2026 12:35:00;Asesoría a la Inspección Fiscal del Contrato de Conservación Global Mixto por Nivel de Servicio y por Precios Unitarios de Caminos de las Provincias de Santiago, Maipo y Cordillera  Calles Locales Urbanas  Etapa IV  Región Metropolitana;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
1151-5-LR26;REPOSICIÓN 1A COMISARÍA CALAMA COMUNA DE CALAMA;LR;Publicada y disponible para ofertar;22/06/2026 10:31:00;Se requiere contratar las obras para la Reposición de la 1a Comisaria Calama, Comuna de Calama.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 5.000 UTM;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
331-4-O126;CONSERV GLOBAL MIXTO NS Y PU C PROVINCIA STGO, MAIPO Y CORDILLERA IV ETAPA;O1;Publicada y disponible para ofertar;29/05/2026 14:38:00;CONSERVACIÓN GLOBAL MIXTO POR NIVEL DE SERVICIO Y POR PRECIOS UNITARIOS DE CAMINOS DE LA PROVINCIA DE SANTIAGO, MAIPO Y CORDILLERA, SECTOR CALLES LOCALES URBANAS, ETAPA IV REGIÓN METROPOLITANA;CLP;NO PUBLICADO;NO ES POSIBLE DE ESTIMAR;No público;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF
